CustomerID,Rank,Recommended,Score
12346,1,SMALL CERAMIC TOP STORAGE JAR ,106
12346,2,JAM JAR WITH PINK LID,72
12346,3,PARTY BUNTING,62
12346,4,ASSORTED COLOUR BIRD ORNAMENT,48
12346,5,WOODEN HEART CHRISTMAS SCANDINAVIAN,48
12347,1,DOUGHNUT LIP GLOSS ,80
12347,2,10 COLOUR SPACEBOY PEN,72
12347,3,PACK OF 12 SPACEBOY TISSUES,72
12347,4,GROW A FLYTRAP OR SUNFLOWER IN TIN,72
12347,5,FUNKY DIVA PEN,48
12348,1,PACK OF 12 PINK POLKADOT TISSUES,1512
12348,2,SET OF 60 I LOVE LONDON CAKE CASES ,168
12348,3,PACK OF 72 RETROSPOT CAKE CASES,144
12348,4,PACK OF 60 DINOSAUR CAKE CASES,144
12348,5,SET OF 72 RETROSPOT PAPER  DOILIES,120
12349,1,STRAWBERRY CERAMIC TRINKET BOX,296
12349,2,ASSORTED COLOURS SILK FAN,60
12349,3,MINI CAKE STAND  HANGING STRAWBERY,56
12349,4,CERAMIC CAKE DESIGN SPOTTED PLATE,48
12349,5,MAGNETS PACK OF 4 SWALLOWS,48
12350,1,SMALL POLKADOT CHOCOLATE GIFT BAG ,16
12350,2,LARGE STRIPES CHOCOLATE GIFT BAG,16
12350,3,GINGERBREAD MAN COOKIE CUTTER,12
12350,4,PACK OF 6 BIRDY GIFT TAGS,12
12350,5,WOODEN PICTURE FRAME WHITE FINISH,12
12352,1,CERAMIC STRAWBERRY DESIGN MUG,144
12352,2,JAM MAKING SET PRINTED,96
12352,3,STRAWBERRY FAIRY CAKE TEAPOT,64
12352,4,CERAMIC CAKE BOWL + HANGING CAKES,60
12352,5,LARGE HEART MEASURING SPOONS,48
12353,1,HANGING HEART MIRROR DECORATION ,24
12353,2,SET 20 NAPKINS FAIRY CAKES DESIGN ,24
12353,3,HAND WARMER SCOTTY DOG DESIGN,24
12353,4,HAND WARMER OWL DESIGN,24
12353,5,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",24
12354,1,GREEN POLKADOT BOWL,66
12354,2,RED 3 PIECE RETROSPOT CUTLERY SET,54
12354,3,GREEN POLKADOT PLATE ,52
12354,4,PINK POLKADOT WRAP ,50
12354,5,BLUE POLKADOT WRAP,50
12355,1,LUNCH BAG RED RETROSPOT,60
12355,2,LUNCH BAG CARS BLUE,50
12355,3,CHRISTMAS PUDDING TRINKET POT ,48
12355,4,HEART OF WICKER SMALL,48
12355,5,FUNKY DIVA PEN,48
12356,1,PACK OF 60 DINOSAUR CAKE CASES,2640
12356,2,PACK OF 60 PINK PAISLEY CAKE CASES,2160
12356,3,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48
12356,4,MULTICOLOUR SPRING FLOWER MUG,48
12356,5,POLYESTER FILLER PAD 40x40cm,44
12357,1,HAND WARMER SCOTTY DOG DESIGN,192
12357,2,HAND WARMER BIRD DESIGN,110
12357,3,HOT WATER BOTTLE TEA AND SYMPATHY,100
12357,4,HAND WARMER UNION JACK,98
12357,5,HOT WATER BOTTLE I AM SO POORLY,96
12358,1,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96
12358,2,COLOUR GLASS. STAR T-LIGHT HOLDER,96
